profile_id,risk,mean,std,median,mean_rank,rank_std,top3_freq,top3_pct,top5_freq,top5_pct,top10_freq,top10_pct
P1,Knowledge analysis / Human / Annotation errors,0.006379028764410226,0.001234738633728073,0.0061351349283439716,30.282828282828284,1.3184043312331095,0,0.0,0,0.0,0,0.0
P1,Knowledge analysis / Human / Assumption mismatch about sensors and communication,0.001779913417263654,0.0003486617247296893,0.0017226287114246476,47.76767676767677,4.565634218234393,0,0.0,0,0.0,0,0.0
P1,Knowledge analysis / Human / HSI / operator-loop omission,0.0017477965805823442,0.0003396519537151701,0.0017108012685946045,48.474747474747474,4.764861778112123,0,0.0,0,0.0,0,0.0
P1,Knowledge analysis / Human / Inappropriate model architecture,0.006403011658168516,0.0011764713023462488,0.006283254570216994,30.161616161616163,1.2285087511523856,0,0.0,0,0.0,0,0.0
P1,Knowledge analysis / Human / Incomplete or inadequate validation criteria,0.0017713475059418279,0.0003272782120892706,0.0017475624188058425,47.85858585858586,4.41876188383835,0,0.0,0,0.0,0,0.0
P1,Knowledge analysis / Human / Lack of uncertainty estimation,0.01702659669051206,0.003000821307681774,0.01653723521411156,21.2020202020202,4.112016875873769,0,0.0,3,1.5151515151515151,10,5.05050505050505
P1,Knowledge analysis / Human / Misdiagnosis of error causes,0.0017559484743004574,0.000351554356001279,0.0017221988803600443,48.35858585858586,4.726638673700287,0,0.0,0,0.0,0,0.0
P1,Knowledge analysis / Human / OOD / working-domain definition error,0.0017527825935121843,0.0003322860135210157,0.0017039399789287061,48.37373737373738,4.440597508675803,0,0.0,0,0.0,0,0.0
P1,Knowledge analysis / Human / Swarm-in-the-loop omission,0.0017731417180680792,0.00033871263393772796,0.0017263130750642,47.888888888888886,4.554693192583164,0,0.0,0,0.0,0,0.0
P1,Knowledge analysis / Human / Task formulation mismatch,0.0064054024318606646,0.0012035578254509384,0.006216978696009439,30.141414141414142,1.2019353165851172,0,0.0,0,0.0,0,0.0
P1,Knowledge analysis / Technological / Correlated errors x interaction graph omission,0.018443566298435483,0.00245195091511391,0.0183472586639749,19.36868686868687,4.013918875654143,0,0.0,1,0.5050505050505051,11,5.555555555555555
P1,Knowledge analysis / Technological / Incorrect spatial-geometric interpretation,0.1459698120289552,0.016481088189151307,0.14722883566967537,1.5555555555555556,0.5069660642961457,198,100.0,198,100.0,198,100.0
